Unnamed: 0,CampaignID,GoalAmount,RaisedAmount,DurationDays,NumBackers,Category,LaunchMonth,Country,Currency,OwnerExperience,VideoIncluded,SocialMediaPresence,NumUpdates,IsSuccessful
28,CID_00028,35699,41918.62667706956,59,782,Technology,June,UK,USD,14,Yes,85475,38,1
29,CID_00029,8125,11507.53013150021,79,1393,Music,March,UK,GBP,2,Yes,1709,23,1
30,CID_00030,23053,12883.517030962854,73,1970,Music,July,UK,EUR,7,No,82853,22,0
31,CID_00031,22950,32524.112738109005,46,1417,Technology,February,Australia,EUR,7,Yes,97011,18,1
32,CID_00032,13787,17799.90491604942,42,488,Music,October,UK,GBP,6,Yes,31522,17,1
33,CID_00033,85822,71211.74072987973,66,1836,Art,August,Australia,GBP,0,No,79296,16,0
34,CID_00034,58562,49470.4087582701,89,1700,Games,December,USA,AUD,4,No,13440,48,0
35,CID_00035,94247,122867.89982543713,45,1439,Music,November,UK,USD,10,No,18850,34,1
36,CID_00036,81788,70296.63658937156,31,1631,Film,April,Germany,GBP,11,Yes,3092,14,0
37,CID_00037,84618,44618.60443347365,64,845,Technology,January,Australia,EUR,14,Yes,47506,4,0
38,CID_00038,53354,58806.14107519761,52,666,Art,July,Germany,CAD,14,No,12452,33,1
39,CID_00039,47832,70520.73017654545,87,1408,Film,August,Germany,CAD,2,No,96579,15,1
40,CID_00040,38255,25741.47411073318,52,1497,Games,December,Australia,EUR,6,No,76661,6,0
41,CID_00041,19791,17525.25864457508,74,872,Games,October,USA,EUR,18,No,31013,7,0
42,CID_00042,71656,42728.68753163633,31,1482,Games,July,Australia,USD,18,Yes,32793,19,0
43,CID_00043,82018,78344.04655841528,80,1584,Games,November,Germany,EUR,1,No,47318,44,0
44,CID_00044,41706,45601.95892328589,15,1025,Film,December,UK,AUD,19,No,36807,14,1
45,CID_00045,76456,52882.64535651651,63,57,Film,May,USA,AUD,19,No,27232,31,0
46,CID_00046,29698,43698.07427106217,25,1745,Film,November,Australia,CAD,19,No,97147,31,1
47,CID_00047,32378,16872.361598421474,26,1241,Film,June,Germany,CAD,9,No,46049,7,0
48,CID_00048,95828,61765.312108867736,70,466,Technology,December,USA,EUR,7,No,41248,1,0
49,CID_00049,83339,52159.937960296345,43,218,Film,May,Canada,USD,10,Yes,77784,18,0
50,CID_00050,95442,116507.37370332378,32,989,Film,April,UK,AUD,7,Yes,14847,31,1
51,CID_00051,92268,137709.11676466832,42,403,Games,June,Australia,AUD,14,No,43293,4,1
52,CID_00052,30585,32071.29519220645,16,762,Games,October,Germany,EUR,8,Yes,50917,41,1
53,CID_00053,51479,45953.77299262241,24,1514,Film,April,Canada,GBP,11,Yes,50704,31,0
54,CID_00054,20245,15351.631360850635,54,1616,Music,August,USA,EUR,18,No,40223,26,0
55,CID_00055,89607,98023.80174268408,86,1450,Music,July,Australia,USD,4,No,56870,10,1
56,CID_00056,31255,35854.80014286123,40,175,Technology,September,Canada,EUR,17,No,50743,22,1
57,CID_00057,60929,68705.00225461008,76,1012,Music,July,Australia,GBP,18,Yes,65573,47,1
58,CID_00058,63697,77525.36426432364,52,1041,Film,February,Germany,EUR,11,Yes,36243,23,1
59,CID_00059,3946,2860.3476080420323,41,633,Art,September,Australia,AUD,18,No,78849,48,0
60,CID_00060,58245,67999.61971889337,59,712,Games,December,USA,AUD,12,Yes,94812,36,1
61,CID_00061,36231,51124.18998110983,81,1979,Art,April,UK,USD,12,No,33274,44,1
62,CID_00062,73300,100886.58012877165,31,1899,Film,October,USA,CAD,4,Yes,29558,9,1
63,CID_00063,17202,13667.64916140056,57,1239,Games,June,UK,EUR,4,No,45512,23,0
64,CID_00064,41734,54368.82697123362,25,1945,Art,August,Canada,AUD,13,No,45154,25,1
65,CID_00065,31363,19668.996980980763,24,1191,Film,April,UK,GBP,15,No,96451,47,0
66,CID_00066,67191,82917.18628325143,18,1271,Art,July,Canada,CAD,4,No,34909,0,1
67,CID_00067,81570,69850.32628569992,17,835,Games,December,UK,USD,7,No,77183,7,0
68,CID_00068,37336,38439.84732054575,65,655,Games,November,UK,USD,9,Yes,7803,43,1
69,CID_00069,80211,112753.52292353792,59,1168,Film,June,Germany,AUD,6,Yes,92820,31,1
70,CID_00070,81749,117270.62813398144,52,1252,Art,February,Canada,CAD,9,No,13850,30,1
71,CID_00071,89104,130034.9407470515,86,874,Games,May,USA,EUR,8,No,45283,47,1
72,CID_00072,54357,53170.09783019757,69,1478,Music,November,Australia,CAD,2,No,15395,9,0
73,CID_00073,23424,27152.113855548967,29,1778,Games,September,Canada,USD,0,Yes,94494,48,1
74,CID_00074,87110,99618.97364125605,30,1007,Games,August,Canada,CAD,3,No,14639,47,1
75,CID_00075,86716,102124.3548355082,66,726,Film,July,UK,USD,6,Yes,43399,29,1
76,CID_00076,43625,31518.696754133016,30,1862,Music,February,Canada,CAD,16,Yes,3335,13,0
77,CID_00077,95828,71210.36161419825,58,885,Art,July,USA,USD,15,Yes,42532,31,0
78,CID_00078,47633,45439.395594048445,49,717,Art,October,Canada,USD,8,Yes,10445,44,0
79,CID_00079,61383,86349.44167003797,85,1940,Games,July,Canada,USD,18,Yes,57018,13,1
80,CID_00080,81844,98227.3649615505,67,391,Games,September,USA,GBP,5,Yes,70043,0,1
81,CID_00081,2387,3072.358188664176,51,1926,Music,April,Germany,USD,1,No,30675,42,1
82,CID_00082,29150,39409.31111330615,66,1752,Music,March,UK,AUD,8,Yes,57859,28,1
83,CID_00083,61577,39171.81576223903,72,1663,Technology,March,UK,GBP,13,Yes,48046,39,0
84,CID_00084,78839,61928.01524750325,84,1842,Technology,May,Australia,USD,8,Yes,7601,6,0
85,CID_00085,69956,74233.25559236442,34,462,Games,June,USA,GBP,10,Yes,85292,35,1
86,CID_00086,16590,22449.292878629065,63,1884,Film,July,Australia,AUD,15,No,14561,47,1
87,CID_00087,56133,33139.854544754206,84,100,Technology,September,Australia,USD,1,Yes,41116,37,0
88,CID_00088,6073,3866.602441403143,46,103,Games,April,Germany,GBP,18,Yes,51035,49,0
89,CID_00089,46827,33342.03876723135,62,1293,Film,February,USA,CAD,2,No,35123,24,0
90,CID_00090,39174,42820.72354861358,88,1550,Music,January,USA,CAD,12,Yes,97256,47,1
91,CID_00091,31505,44126.080565723474,62,86,Games,September,Canada,USD,7,No,66038,19,1
92,CID_00092,87320,120909.46692579491,29,1543,Film,May,Germany,USD,12,Yes,47226,35,1
93,CID_00093,27170,31122.77538339103,20,1584,Games,January,Australia,GBP,13,No,45833,19,1
94,CID_00094,97607,106457.36959823956,49,122,Games,June,Germany,USD,15,No,14687,24,1
95,CID_00095,98814,110654.54706984694,42,1048,Technology,May,UK,EUR,4,No,29115,49,1
96,CID_00096,24776,17301.20344942523,31,1156,Games,February,UK,GBP,10,Yes,54474,31,0
97,CID_00097,19242,10878.888117728104,51,1913,Music,January,USA,EUR,4,No,2351,41,0
98,CID_00098,10554,7523.777548906738,54,1220,Art,September,Canada,AUD,14,No,73112,19,0
99,CID_00099,48235,54536.14601283375,73,1578,Film,November,Germany,CAD,11,No,65612,39,1
100,CID_00100,1581,982.2076244075292,41,556,Art,June,Australia,CAD,17,No,78287,25,0
101,CID_00101,51531,45898.17990868806,39,1982,Technology,August,Canada,EUR,0,Yes,27599,35,0
102,CID_00102,38416,39827.90804145981,48,1543,Technology,July,Germany,GBP,12,Yes,79285,27,1
103,CID_00103,52341,69787.62963581571,32,1309,Music,November,Australia,GBP,15,No,61952,36,1
104,CID_00104,33414,24989.93529580251,30,1231,Technology,January,Canada,AUD,18,Yes,3492,33,0
105,CID_00105,50989,60973.10224819298,63,470,Art,May,Germany,EUR,11,No,36301,22,1
106,CID_00106,19290,20523.668536622983,40,285,Games,October,Canada,EUR,12,No,62631,7,1
107,CID_00107,8441,8120.342473980845,57,1598,Games,September,Australia,AUD,4,Yes,52398,13,0
108,CID_00108,94586,129485.9793768874,84,219,Film,September,UK,AUD,6,Yes,17284,14,1
109,CID_00109,95207,57187.68809344688,44,1302,Music,February,USA,USD,7,Yes,85908,10,0
110,CID_00110,40405,27116.31534215996,48,1148,Film,April,Canada,AUD,3,Yes,81206,48,0
111,CID_00111,16174,20144.938511879565,52,915,Film,August,USA,CAD,14,Yes,14824,22,1
112,CID_00112,31661,45808.4963425628,58,1295,Art,September,Germany,GBP,9,Yes,28278,48,1
113,CID_00113,71858,95976.0721874851,32,638,Film,December,Germany,EUR,9,No,48836,43,1
114,CID_00114,4673,3306.949763608083,32,418,Technology,May,UK,EUR,9,Yes,45950,3,0
115,CID_00115,41782,33751.7413567294,20,478,Technology,January,USA,USD,15,Yes,92780,20,0
116,CID_00116,45829,35537.54169445582,30,958,Games,September,Germany,USD,0,Yes,79464,16,0
117,CID_00117,85048,71816.44735433688,80,713,Games,January,USA,CAD,18,No,458,38,0
118,CID_00118,10964,10271.461571968552,48,955,Technology,June,Canada,EUR,9,Yes,20705,7,0
119,CID_00119,25669,25858.12117654181,52,1023,Film,August,Canada,CAD,17,Yes,37387,21,1
120,CID_00120,31667,43284.42331925927,69,202,Technology,June,UK,GBP,16,Yes,20643,47,1
121,CID_00121,73451,108987.93691956787,37,1628,Art,September,USA,CAD,8,Yes,58555,48,1
122,CID_00122,70833,55597.30117917582,22,291,Art,November,Canada,USD,11,No,79500,14,0
123,CID_00123,43872,57530.63157111479,60,1147,Film,March,USA,AUD,6,Yes,87493,45,1
124,CID_00124,26517,28514.94505900021,88,1597,Music,October,Germany,EUR,7,Yes,28374,36,1
125,CID_00125,90221,59370.852604015454,50,1823,Technology,September,Australia,CAD,17,No,67761,25,0
126,CID_00126,60425,81235.34051872084,71,702,Music,October,Australia,EUR,13,No,23489,10,1
127,CID_00127,11070,16258.502793099304,80,193,Film,October,Canada,EUR,2,No,15172,0,1
128,CID_00128,81156,98499.41474641372,75,806,Music,January,Australia,EUR,4,Yes,2903,14,1
129,CID_00129,63661,54602.22483325,73,289,Film,January,Australia,CAD,0,Yes,47397,36,0
130,CID_00130,19513,21190.00408367438,72,155,Music,February,UK,GBP,13,Yes,83240,30,1
131,CID_00131,82445,82497.34836169057,50,515,Music,October,USA,AUD,5,No,97772,20,1
132,CID_00132,22260,12731.397465819546,28,1464,Games,October,USA,EUR,9,No,28277,41,0
133,CID_00133,86377,98751.89781476476,61,183,Technology,May,Germany,GBP,14,No,89196,14,1
134,CID_00134,35846,49134.4438091571,62,1549,Games,February,Canada,AUD,19,Yes,81535,24,1
135,CID_00135,16891,18716.612149534267,79,1352,Film,December,Canada,EUR,18,Yes,25208,23,1
136,CID_00136,69898,74686.32550152941,75,372,Film,April,Germany,AUD,16,Yes,27821,24,1
137,CID_00137,2222,1606.2171075767592,78,1909,Art,June,UK,CAD,19,No,94813,11,0
138,CID_00138,11178,5598.175695271308,26,253,Art,April,Australia,USD,11,Yes,50896,10,0
139,CID_00139,79642,47114.97962752353,31,817,Technology,January,USA,GBP,13,No,43999,39,0
140,CID_00140,34617,30534.76106820657,87,1194,Film,December,Australia,AUD,1,No,58459,8,0
141,CID_00141,52840,60905.0727041201,35,1375,Music,March,Canada,AUD,1,No,87678,1,1
142,CID_00142,80203,116313.34555263276,57,1382,Art,February,Australia,AUD,19,Yes,25009,17,1
143,CID_00143,69470,76608.86362322838,87,368,Art,January,Germany,EUR,10,No,64805,14,1
144,CID_00144,54320,41547.096519168525,60,411,Technology,December,UK,GBP,5,No,93189,27,0
145,CID_00145,47693,40439.22751704502,49,559,Film,March,USA,EUR,13,Yes,48855,40,0
146,CID_00146,28155,38153.71861471135,47,552,Technology,September,UK,AUD,18,Yes,90269,33,1
147,CID_00147,8047,9088.919345714825,23,129,Games,January,Canada,USD,2,Yes,71151,26,1
148,CID_00148,58257,81123.07018031896,67,1641,Games,April,Germany,GBP,4,No,54948,29,1
149,CID_00149,27128,13817.22402448143,39,961,Art,April,UK,GBP,19,No,93975,49,0
150,CID_00150,32222,18894.3969765827,69,1748,Music,February,USA,USD,16,No,45881,29,0
151,CID_00151,50582,35362.1803472022,45,1585,Music,March,Canada,EUR,6,No,3518,3,0
152,CID_00152,16530,14779.254330103857,82,125,Film,September,UK,EUR,14,No,31374,19,0
153,CID_00153,99354,115774.2563400675,15,1887,Technology,November,Canada,USD,19,Yes,6600,19,1
154,CID_00154,22173,27314.63411537405,48,1737,Music,January,Germany,USD,2,No,1343,15,1
155,CID_00155,42975,31725.58890883673,43,181,Film,November,UK,EUR,10,Yes,75621,45,0
156,CID_00156,17006,17737.565089132957,64,991,Music,November,Canada,EUR,15,No,89751,14,1
157,CID_00157,23767,22782.28431024612,27,1402,Art,July,USA,GBP,1,No,46322,20,0
158,CID_00158,84474,118713.16913729212,36,143,Film,June,Germany,CAD,19,No,43978,27,1
159,CID_00159,11576,6357.484297960595,32,1624,Art,December,UK,GBP,18,Yes,97879,12,0
160,CID_00160,88225,98316.23822875274,75,418,Games,February,Australia,CAD,8,Yes,25748,46,1
161,CID_00161,65212,92903.06228940075,55,1923,Film,January,Canada,EUR,13,Yes,3510,44,1
162,CID_00162,52972,69562.19387493118,65,1377,Music,August,Canada,AUD,3,Yes,71359,0,1
163,CID_00163,68088,97731.65330813872,48,582,Art,March,Canada,AUD,15,Yes,66411,0,1
164,CID_00164,44666,30348.84062934204,75,1010,Music,December,UK,CAD,11,Yes,12927,43,0
165,CID_00165,51195,30693.05173900737,20,375,Film,November,Germany,AUD,7,Yes,27092,30,0
166,CID_00166,95763,123620.19031670476,16,355,Technology,December,UK,CAD,8,Yes,27214,32,1
167,CID_00167,79193,58653.61664931804,19,747,Music,July,USA,GBP,14,No,59161,32,0
168,CID_00168,17960,21225.08971783624,55,1805,Technology,August,Canada,USD,10,No,11566,18,1
169,CID_00169,46960,31845.40593321702,74,419,Technology,September,UK,GBP,8,No,22490,11,0
170,CID_00170,60750,68141.98195568818,33,653,Games,July,Australia,GBP,14,No,10390,22,1
171,CID_00171,44423,39158.04076477903,72,1888,Games,February,Canada,USD,2,No,89717,3,0
172,CID_00172,82051,106266.11687552508,42,397,Art,July,USA,GBP,0,No,8815,36,1
173,CID_00173,81259,120708.5803694109,53,835,Music,January,UK,AUD,2,Yes,72465,49,1
174,CID_00174,81965,67533.1691287307,22,582,Art,April,UK,USD,9,Yes,49853,16,0
175,CID_00175,48560,28250.014057078708,75,1042,Music,April,UK,EUR,4,Yes,79894,31,0
176,CID_00176,78854,105300.68805341006,57,972,Technology,May,Australia,EUR,2,Yes,56565,49,1
177,CID_00177,67711,37933.33439100022,52,594,Technology,January,Germany,CAD,5,Yes,30168,34,0
178,CID_00178,3931,3333.788109164613,88,1706,Art,October,UK,CAD,13,Yes,80316,49,0
179,CID_00179,23150,17096.52356086715,85,133,Art,October,USA,GBP,6,Yes,66936,33,0
180,CID_00180,6703,5274.161484537824,34,356,Technology,April,UK,GBP,14,No,12452,1,0
181,CID_00181,15558,8759.863223860597,57,769,Art,August,Australia,CAD,16,No,24089,8,0
182,CID_00182,25853,16428.95673026274,78,684,Music,November,USA,EUR,19,Yes,8169,35,0
183,CID_00183,3605,3030.69837327747,37,1443,Games,May,Australia,USD,8,Yes,2948,16,0
184,CID_00184,4158,4224.40802230965,44,983,Games,February,Canada,CAD,7,No,84414,17,1
185,CID_00185,91927,97884.17327375118,44,996,Film,September,Australia,GBP,16,Yes,54074,27,1
186,CID_00186,47619,50814.53383242324,77,1809,Games,March,Australia,USD,19,No,8052,39,1
187,CID_00187,17989,19351.86291962739,83,139,Art,November,Australia,AUD,10,Yes,90700,46,1
188,CID_00188,22018,11919.50308945787,44,986,Film,July,Australia,EUR,19,No,81478,46,0
189,CID_00189,77714,92852.1922718317,32,1507,Film,December,UK,CAD,15,No,45916,30,1
190,CID_00190,49001,43287.7381675179,71,1803,Art,March,USA,EUR,19,Yes,70166,49,0
191,CID_00191,81108,40803.41814622871,66,1813,Music,December,UK,EUR,4,Yes,30642,1,0
192,CID_00192,79486,46902.7206137688,48,285,Art,February,UK,AUD,6,No,58888,29,0
193,CID_00193,51375,29854.44627959772,35,1898,Music,July,Canada,CAD,14,No,84206,40,0
194,CID_00194,85378,59470.32933101564,19,682,Technology,December,Germany,AUD,15,No,65833,17,0
195,CID_00195,60175,80217.35346071051,80,1875,Art,November,Australia,GBP,11,Yes,48328,4,1
196,CID_00196,51345,34140.399071849104,42,1137,Art,March,Canada,GBP,12,No,33105,27,0
197,CID_00197,34391,31096.607884294383,47,884,Music,February,Canada,USD,5,Yes,69739,36,0
198,CID_00198,26537,31681.61423823568,49,1186,Games,July,Australia,CAD,14,Yes,16750,6,1
199,CID_00199,46890,51859.25332947481,57,654,Film,June,Canada,CAD,5,Yes,68905,6,1
200,CID_00200,49050,40872.01802056476,70,74,Art,May,Australia,CAD,14,Yes,26141,44,0
201,CID_00201,82253,67560.7413005707,65,1965,Film,March,UK,AUD,1,Yes,24927,9,0
202,CID_00202,9059,4924.373537583201,63,627,Film,May,Germany,EUR,7,Yes,14945,18,0
203,CID_00203,82809,79738.17781695009,72,471,Film,December,Australia,USD,18,No,97028,34,0
204,CID_00204,92087,109940.50036057788,68,1566,Film,March,UK,GBP,7,Yes,37272,28,1
205,CID_00205,67266,40083.702749311386,88,634,Art,November,UK,AUD,8,No,22763,32,0
206,CID_00206,2813,3378.263546351941,77,766,Film,March,UK,EUR,10,No,79642,9,1
207,CID_00207,99180,104556.89754140229,71,400,Art,May,Germany,USD,8,No,24873,31,1
208,CID_00208,5320,4958.342082659362,69,358,Games,August,Germany,AUD,3,Yes,81100,9,0
209,CID_00209,48763,69565.70976941998,17,373,Technology,August,Canada,CAD,10,No,54039,29,1
210,CID_00210,72886,40433.09746584868,62,1945,Games,May,USA,USD,17,No,86902,33,0
211,CID_00211,4559,6626.134735918281,34,1349,Technology,April,UK,AUD,11,No,2737,26,1
212,CID_00212,82701,64110.999628293226,69,1130,Technology,October,Canada,AUD,18,Yes,70007,22,0
213,CID_00213,31866,40154.66767577508,82,154,Film,September,Canada,EUR,7,No,39941,11,1
214,CID_00214,72321,88105.08954840504,27,1849,Art,January,Canada,CAD,3,No,32245,10,1
215,CID_00215,74148,79299.93892852898,17,362,Music,January,USA,EUR,17,Yes,20975,48,1
216,CID_00216,84014,85639.43223815423,27,1355,Games,December,Canada,AUD,15,Yes,58084,47,1
217,CID_00217,8531,6867.291382332232,30,1796,Technology,March,UK,GBP,10,No,21398,36,0
218,CID_00218,47321,58505.64584696432,50,913,Music,November,Australia,EUR,9,No,48181,15,1
219,CID_00219,82025,78522.37924404322,35,268,Music,October,USA,GBP,12,Yes,63814,36,0
220,CID_00220,74362,90052.67166833664,35,488,Film,October,USA,AUD,1,No,10877,33,1
221,CID_00221,44266,65104.35059463837,16,626,Games,July,Canada,GBP,12,No,95827,25,1
222,CID_00222,78515,108517.52012590364,64,1195,Technology,September,Australia,USD,0,No,68167,31,1
223,CID_00223,26676,26736.16789899608,19,863,Games,December,Germany,EUR,7,Yes,79412,39,1
224,CID_00224,57863,36785.10016004756,54,1321,Music,September,Canada,GBP,4,No,86915,48,0
225,CID_00225,43992,26400.1377274359,75,1754,Film,February,USA,CAD,7,No,52580,10,0
226,CID_00226,87369,118798.65950996512,85,859,Games,September,Australia,EUR,3,No,95406,30,1
227,CID_00227,50424,41356.82765862807,83,62,Games,January,Canada,GBP,3,Yes,37338,24,0
228,CID_00228,95273,129045.59142493046,58,453,Technology,December,USA,CAD,7,No,66529,23,1
229,CID_00229,2177,2266.037844805162,29,40,Technology,March,Australia,USD,9,Yes,53648,38,1
230,CID_00230,70169,96457.1979003483,47,758,Technology,July,USA,USD,6,Yes,25075,34,1
231,CID_00231,91458,54861.3141832041,43,924,Music,September,UK,EUR,14,No,43532,6,0
232,CID_00232,97745,78916.63781540077,45,451,Games,December,UK,GBP,9,Yes,81753,19,0
233,CID_00233,30889,44854.56883572471,16,633,Games,July,Australia,EUR,12,Yes,55144,45,1
234,CID_00234,31939,46288.0200643624,80,461,Art,October,Germany,AUD,13,Yes,21850,10,1
235,CID_00235,86486,117251.88805990606,64,1279,Games,March,Australia,EUR,14,No,1075,24,1
236,CID_00236,15036,12087.92852562961,66,783,Film,June,USA,EUR,13,No,52305,8,0
237,CID_00237,16085,11784.04912149545,66,663,Art,April,UK,AUD,13,No,33121,15,0
238,CID_00238,18529,23070.375147663584,69,673,Games,December,UK,CAD,12,Yes,46971,35,1
239,CID_00239,57702,63527.3650789617,42,1264,Games,October,USA,EUR,2,Yes,75748,25,1
240,CID_00240,94661,66422.85582914625,51,1862,Music,February,UK,USD,7,No,27231,25,0
241,CID_00241,27053,34272.47795738875,34,178,Music,June,Canada,EUR,0,No,28845,14,1
242,CID_00242,92185,102036.9638079439,57,1070,Art,August,Germany,GBP,1,No,85528,3,1
243,CID_00243,78351,106801.7944744015,29,24,Music,August,Germany,EUR,17,Yes,4876,20,1
244,CID_00244,45144,63420.674456770284,81,1134,Art,October,Australia,EUR,13,No,58272,45,1
245,CID_00245,73814,61229.87432025123,15,1641,Art,February,USA,CAD,7,Yes,25956,14,0
246,CID_00246,3832,2188.1818064898225,78,950,Art,May,Germany,EUR,17,No,68694,45,0
247,CID_00247,79574,85883.60076651062,34,797,Art,September,UK,GBP,19,No,47003,11,1
248,CID_00248,81144,75276.78761292482,53,226,Games,November,USA,USD,1,No,37168,29,0
249,CID_00249,92766,83741.75894085859,78,105,Technology,December,Canada,EUR,1,Yes,94616,4,0
250,CID_00250,83720,109796.26829272047,27,1905,Music,June,Australia,GBP,15,No,41886,27,1
251,CID_00251,68627,46585.9222911948,17,1679,Art,April,UK,CAD,7,Yes,45838,19,0
252,CID_00252,79466,106728.28994885806,16,130,Film,May,USA,USD,7,No,48041,3,1
253,CID_00253,63778,91306.18054185832,35,1098,Film,January,Germany,AUD,14,Yes,28042,9,1
254,CID_00254,61660,85978.07925389193,68,1830,Games,March,Australia,EUR,15,Yes,50811,26,1
255,CID_00255,83393,88760.94808246665,57,318,Film,November,USA,AUD,8,Yes,34132,38,1
256,CID_00256,89021,72431.25245371427,59,388,Music,January,UK,AUD,9,Yes,37163,2,0
257,CID_00257,86699,94931.96717532718,82,1287,Technology,March,Australia,EUR,7,Yes,11882,49,1
258,CID_00258,23306,19001.506861648435,79,41,Games,August,Australia,CAD,6,No,25940,30,0
259,CID_00259,26105,34846.5148700044,70,1702,Art,April,Germany,GBP,3,Yes,12155,31,1
260,CID_00260,1147,1608.890103196129,27,1774,Film,October,Germany,GBP,11,Yes,73121,41,1
261,CID_00261,11250,16844.653701725205,41,1758,Film,June,USA,EUR,10,Yes,49234,14,1
262,CID_00262,94215,118766.58193905464,80,580,Technology,September,Australia,GBP,15,No,77478,42,1
263,CID_00263,35037,37643.53085704575,74,358,Music,April,UK,EUR,13,Yes,93131,14,1
264,CID_00264,48181,32447.526361990243,44,1198,Art,January,Australia,USD,13,Yes,27377,13,0
265,CID_00265,66432,92296.7389502675,55,563,Film,August,Australia,EUR,8,No,69678,16,1
266,CID_00266,24772,33087.66150323016,40,1359,Music,February,Australia,GBP,1,Yes,17713,18,1
267,CID_00267,74441,100633.97529380064,15,1613,Film,April,Australia,AUD,10,No,43842,18,1
268,CID_00268,82732,64145.34349657704,51,894,Games,November,Australia,GBP,11,Yes,74803,32,0
269,CID_00269,77870,66624.55000515027,85,861,Art,November,UK,USD,11,No,9415,12,0
270,CID_00270,80743,66663.61285799042,77,557,Technology,January,Canada,AUD,15,No,42517,37,0
271,CID_00271,20268,16155.694673754704,74,417,Film,May,UK,AUD,9,No,59192,24,0
272,CID_00272,52739,72597.75588172469,87,1366,Technology,February,Germany,USD,7,Yes,45994,34,1
273,CID_00273,34461,18718.61271687583,84,946,Technology,December,UK,GBP,19,No,5248,27,0
274,CID_00274,10346,10328.13085165436,79,743,Film,December,Germany,AUD,11,Yes,82870,26,0
275,CID_00275,48163,55406.05362559564,84,1489,Technology,August,Germany,CAD,19,No,63078,12,1
276,CID_00276,97116,96575.11569591082,34,1934,Games,June,Australia,CAD,1,Yes,84614,45,0
277,CID_00277,25955,31225.279073393525,19,955,Games,January,UK,CAD,19,No,57791,41,1
278,CID_00278,79257,117677.53656642365,58,609,Games,January,Germany,AUD,2,No,70439,10,1
279,CID_00279,6055,3320.6995707054275,49,662,Games,June,Canada,CAD,2,No,2235,18,0
280,CID_00280,48897,60413.312534516255,34,1186,Art,November,UK,GBP,6,No,21420,42,1
281,CID_00281,56285,28759.988265624004,77,1689,Music,April,Canada,CAD,4,No,53800,23,0
282,CID_00282,60800,62541.81568869318,78,1416,Music,November,Germany,AUD,8,Yes,3312,29,1
283,CID_00283,30393,25458.57223044392,46,1690,Technology,January,UK,EUR,19,Yes,54114,7,0
284,CID_00284,66304,98807.63676317662,40,669,Music,June,USA,EUR,5,No,37537,20,1
285,CID_00285,37871,42051.26538227295,19,1804,Music,October,Canada,AUD,13,No,90091,24,1
